assignment_id,attached_file
1,"http://127.0.0.1:8000/media/assignments/questions/attachment1.txt"
2,"http://127.0.0.1:8000/media/assignments/questions/attachment2.txt"
3,"http://127.0.0.1:8000/media/assignments/questions/attachment3.txt"
4,"http://127.0.0.1:8000/media/assignments/questions/attachment4.txt"
5,"http://127.0.0.1:8000/media/assignments/questions/attachment5.txt"
6,"http://127.0.0.1:8000/media/assignments/questions/attachment6.txt"
7,"http://127.0.0.1:8000/media/assignments/questions/attachment7.txt"
8,"http://127.0.0.1:8000/media/assignments/questions/attachment8.txt"
9,"http://127.0.0.1:8000/media/assignments/questions/attachment9.txt"
10,"http://127.0.0.1:8000/media/assignments/questions/attachment10.txt"
11,"http://127.0.0.1:8000/media/assignments/questions/attachment11.txt"
12,"http://127.0.0.1:8000/media/assignments/questions/attachment12.txt"
13,"http://127.0.0.1:8000/media/assignments/questions/attachment13.txt"
14,"http://127.0.0.1:8000/media/assignments/questions/attachment14.txt"
15,"http://127.0.0.1:8000/media/assignments/questions/attachment15.txt"
16,"http://127.0.0.1:8000/media/assignments/questions/attachment16.txt"
17,"http://127.0.0.1:8000/media/assignments/questions/attachment17.txt"
18,"http://127.0.0.1:8000/media/assignments/questions/attachment18.txt"
19,"http://127.0.0.1:8000/media/assignments/questions/attachment19.txt"
20,"http://127.0.0.1:8000/media/assignments/questions/attachment20.txt"
21,"http://127.0.0.1:8000/media/assignments/questions/attachment21.txt"
22,"http://127.0.0.1:8000/media/assignments/questions/attachment22.txt"
23,"http://127.0.0.1:8000/media/assignments/questions/attachment23.txt"
24,"http://127.0.0.1:8000/media/assignments/questions/attachment24.txt"
25,"http://127.0.0.1:8000/media/assignments/questions/attachment25.txt"
26,"http://127.0.0.1:8000/media/assignments/questions/attachment26.txt"
27,"http://127.0.0.1:8000/media/assignments/questions/attachment27.txt"
28,"http://127.0.0.1:8000/media/assignments/questions/attachment28.txt"
29,"http://127.0.0.1:8000/media/assignments/questions/attachment29.txt"
30,"http://127.0.0.1:8000/media/assignments/questions/attachment30.txt"
