name,instruction,start_date,due_date,is_published,is_first_published,staff_id,course_id,criteria
Assignment-1,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,1,1,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-2,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,1,2,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-3,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,1,3,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-4,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,2,4,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-5,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,2,5,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-6,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,2,6,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-7,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,3,7,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-8,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,3,8,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-9,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,3,9,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-10,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,4,10,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-11,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,4,11,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-12,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,4,12,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-13,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,5,13,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-14,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,5,14,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-15,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,5,15,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-16,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,6,16,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-17,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,6,17,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-18,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,6,18,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-19,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,7,19,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-20,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,7,20,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-21,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,7,21,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-22,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,8,22,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-23,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,8,23,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-24,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,8,24,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-25,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,9,25,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-26,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,9,26,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-27,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,9,27,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-28,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,10,28,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-29,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,10,29,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
Assignment-30,Very Hard,2022-11-10T19:54:00Z,2022-11-20T19:54:00Z,False,False,10,30,"{'fullMark': 100,'passMark': 40,'criteria': [{'name': 'A','description': 'distinction','range': 80},{'name': 'B','description': 'pass','range': 60},{'name': 'C','description': 'pass','range': 40},{'name': 'D','description': 'fail','range': 0}]}"
