name,opening_time,closing_time,house_number,block_number,street_name,township,city,country,postal_code
Wintheiser-Ratke,12:14:38,15:37:11,9,7,Warner,Huel LLC,Cheonan,South Korea,
Rice Group,12:04:27,15:21:39,32,10,Manitowish,Sauer-Welch,Nebug,Russia,352835
Christiansen LLC,12:49:22,15:54:26,21,5,Trailsway,"Krajcik, Witting and Breitenberg",Sviblovo,Russia,627603
Wehner and Sons,12:19:48,15:08:02,59,10,Superior,"Hickle, Christiansen and Runte",Göteborg,Sweden,403 13
"Gleichner, Jakubowski and Gorczany",12:11:08,15:30:00,96,6,Lakewood,Hammes-Ritchie,Qingdao,China,
Kuvalis and Sons,12:01:36,15:17:57,36,5,Cherokee,"Johnston, Mills and Kassulke",Velikooktyabr’skiy,Russia,172715
"Carter, Schmeler and Davis",12:42:08,15:47:27,35,5,Westend,"Predovic, Kuvalis and Bins",Saginaw,United States,48604
Deckow-Hickle,12:37:36,15:45:11,91,6,Erie,Pollich-Roberts,Qui Nhon,Vietnam,
Yundt Group,12:21:28,15:23:47,39,6,2nd,"Kshlerin, Hermann and Baumbach",Kanganpur,Pakistan,55000
Nitzsche Inc,12:39:39,15:43:16,82,7,Maryland,Spencer-Gleason,Sobral,Portugal,2530-285
