name,code,start_date,end_date,monthly_fee,category_id,color
course-1,A-123,2022-09-02,2022-10-15,18782,7,#A1C298
course-2,B-123,2022-09-01,2022-11-06,37616,1,#FA7070
course-3,C-123,2022-07-01,2022-7-16,19484,9,#FBF2CF
course-4,D-123,2022-01-02,2022-2-03,60181,6,#C6EBC5
course-5,E-123,2022-05-01,2022-06-11,67283,3,#A1C298
course-6,F-123,2022-11-01,2022-12-23,62012,1,#FA7070
course-7,G-123,2022-08-02,2022-09-09,45675,10,#FBF2CF
course-8,H-123,2022-09-02,2022-10-13,42096,1,#C6EBC5
course-9,I-123,2022-04-01,2022-05-04,65482,2,#A1C298
course-10,J-123,2022-09-02,2022-10-01,87412,7,#FA7070
course-11,K-123,2022-02-02,2022-03-15,18782,7,#FBF2CF
course-12,L-123,2022-09-01,2022-10-06,37616,1,#C6EBC5
course-13,M-123,2022-09-01,2022-10-16,19484,9,#C6EBC5
course-14,O-123,2022-10-02,2022-12-03,60181,6,#A1C298
course-15,P-123,2022-09-01,2022-10-11,67283,3,#FA7070
course-16,Q-123,2022-12-01,2023-01-23,62012,1,#FBF2CF
course-17,R-123,2022-09-02,2022-10-09,45675,10,#C6EBC5
course-18,S-123,2022-03-02,2022-04-13,42096,1,#A1C298
course-19,T-123,2022-09-01,2022-10-04,65482,2,#FA7070
course-20,U-123,2022-05-02,2022-07-01,87412,7,#FBF2CF
course-21,V-123,2022-09-02,2022-10-15,18782,7,#C6EBC5
course-22,W-123,2022-10-01,2023-01-06,37616,1,#C6EBC5
course-23,X-123,2022-09-01,2022-10-16,19484,9,#A1C298
course-24,Y-123,2022-05-02,2022-06-03,60181,6,#FA7070
course-25,Z-123,2022-09-01,2022-10-11,67283,3,#FBF2CF
course-26,A-1234,2022-01-01,2022-02-23,62012,1,#C6EBC5
course-27,B-1234,2022-09-02,2022-10-09,45675,10,#A1C298
course-28,C-1234,2022-03-02,2022-05-13,42096,1,#FA7070
course-29,D-1234,2022-08-01,2022-10-04,65482,2,#FBF2CF
course-30,E-1234,2022-09-02,2022-10-01,87412,7,#A1C298
