name,parent_id
department1,
department2,
department3,
department4,
department5,
department6,1
department7,2
department8,3
department9,4
department10,1
department11,2
department12,3
department13,4
department14,5
department15,11
department16,11
department17,11
department18,12
department19,12
department20,12
department21,6
department22,6
department23,7
department24,7
department25,8
department26,8
department27,9
department28,9
department29,2
department30,2
department31,2
department32,2
department33,2
department34,2
department35,2
department36,2
department37,2
department38,2
department39,30
department40,30
