date,time_from,time_to,course_id,classification_id
2021-09-15,13:17:48,17:51:25,10,10
2021-09-15,13:04:47,15:24:02,8,10
2022-05-23,13:28:30,18:45:31,3,2
2022-06-25,13:33:41,18:13:12,1,7
2021-12-30,13:57:10,15:10:41,5,1
2022-07-27,13:08:12,16:58:22,6,8
2021-09-03,13:49:33,16:42:08,10,3
2022-07-27,13:56:24,18:33:11,7,5
2022-07-09,12:12:05,15:30:22,1,3
2021-11-04,13:41:39,17:36:24,1,7
2021-12-16,12:59:42,15:10:53,22,9
2022-07-04,12:33:07,16:29:20,27,9
2022-06-27,12:04:40,16:33:54,27,10
2022-08-19,12:26:15,18:09:34,30,9
2021-09-04,12:01:04,18:57:10,24,7
2022-07-23,13:21:19,16:30:50,26,8
2022-05-15,12:24:46,17:48:07,26,5
2022-02-21,12:39:08,18:15:20,25,2
2022-01-08,12:25:11,18:52:27,23,5
2021-12-21,13:04:19,17:55:50,26,5
2022-01-04,12:49:57,17:56:21,28,9
2022-06-27,13:16:20,16:45:27,23,4
2022-05-15,12:00:46,15:00:40,28,9
2022-02-02,13:20:55,15:43:55,23,8
2022-01-17,12:06:24,15:26:48,30,4
2022-05-19,12:44:02,16:17:58,24,8
2022-04-24,13:13:09,16:22:44,25,2
2022-06-24,12:08:21,17:53:38,26,9
2022-07-21,13:29:47,18:15:47,28,3
2022-01-04,13:32:24,17:50:51,21,4
