name,status,bank_type,amount,approved_on
transaction1,prcoessing,AYA,16689,2022-05-09T01:00:00Z
transaction2,prcoessing,AYA,55792,2021-12-17T02:00:00Z
transaction3,prcoessing,AYA,83455,2021-10-12T03:00:00Z
transaction4,prcoessing,AYA,24830,2022-03-09T04:00:00Z
transaction5,prcoessing,AYA,26118,2022-03-11T05:00:00Z
transaction6,prcoessing,AYA,21331,2022-02-17T06:00:00Z
transaction7,prcoessing,AYA,55833,2022-03-26T07:00:00Z
transaction8,prcoessing,AYA,49848,2022-06-21T08:00:00Z
transaction9,prcoessing,AYA,38526,2021-10-25T09:00:00Z
transaction10,prcoessing,AYA,79353,2022-03-28T10:00:00Z
